t_h,T_glucosa_C,U_W_m2C,Q_W,Q_acum_MJ,Q_perd_W,Q_perd_acum_MJ,Q_neto_acum_MJ,h_i_W_m2C,h_o_W_m2C,rho_kg_m3,Cp_J_kgC,mu_Pa_s,k_W_mC,Pr,beta_1C
0.000000e+00,4.000000e+01,2.601788e+01,9.106257e+03,2.731877e+00,1.640336e+03,4.921008e-01,2.239776e+00,1.047987e+04,2.646375e+01,1.413800e+03,2.112909e+03,1.353433e+01,3.241229e-01,8.822828e+04,3.819494e-04
8.333333e-02,4.000421e+01,2.601919e+01,9.105183e+03,5.463432e+00,1.640847e+03,9.843548e-01,4.479077e+00,1.047992e+04,2.646510e+01,1.413798e+03,2.112914e+03,1.352797e+01,3.241275e-01,8.818575e+04,3.819500e-04
1.666667e-01,4.000841e+01,2.602049e+01,9.104108e+03,8.194664e+00,1.641358e+03,1.476762e+00,6.717902e+00,1.047997e+04,2.646645e+01,1.413795e+03,2.112918e+03,1.352161e+01,3.241320e-01,8.814326e+04,3.819506e-04
2.500000e-01,4.001262e+01,2.602180e+01,9.103034e+03,1.092557e+01,1.641869e+03,1.969323e+00,8.956252e+00,1.048002e+04,2.646780e+01,1.413793e+03,2.112923e+03,1.351525e+01,3.241366e-01,8.810080e+04,3.819512e-04
3.333333e-01,4.001682e+01,2.602310e+01,9.101959e+03,1.365616e+01,1.642379e+03,2.462037e+00,1.119413e+01,1.048007e+04,2.646915e+01,1.413791e+03,2.112928e+03,1.350890e+01,3.241411e-01,8.805837e+04,3.819518e-04
4.166667e-01,4.002102e+01,2.602441e+01,9.100885e+03,1.638643e+01,1.642890e+03,2.954904e+00,1.343152e+01,1.048012e+04,2.647051e+01,1.413789e+03,2.112933e+03,1.350256e+01,3.241457e-01,8.801597e+04,3.819524e-04
5.000000e-01,4.002522e+01,2.602572e+01,9.099810e+03,1.911637e+01,1.643401e+03,3.447924e+00,1.566845e+01,1.048017e+04,2.647185e+01,1.413786e+03,2.112938e+03,1.349622e+01,3.241502e-01,8.797361e+04,3.819530e-04
5.833333e-01,4.002942e+01,2.602702e+01,9.098735e+03,2.184599e+01,1.643911e+03,3.941097e+00,1.790489e+01,1.048022e+04,2.647320e+01,1.413784e+03,2.112942e+03,1.348988e+01,3.241548e-01,8.793127e+04,3.819536e-04
6.666667e-01,4.003362e+01,2.602832e+01,9.097661e+03,2.457529e+01,1.644421e+03,4.434424e+00,2.014087e+01,1.048028e+04,2.647455e+01,1.413782e+03,2.112947e+03,1.348355e+01,3.241593e-01,8.788897e+04,3.819543e-04
7.500000e-01,4.003782e+01,2.602963e+01,9.096586e+03,2.730427e+01,1.644932e+03,4.927903e+00,2.237636e+01,1.048033e+04,2.647590e+01,1.413780e+03,2.112952e+03,1.347722e+01,3.241638e-01,8.784671e+04,3.819549e-04
8.333333e-01,4.004202e+01,2.603093e+01,9.095511e+03,3.003292e+01,1.645442e+03,5.421536e+00,2.461138e+01,1.048038e+04,2.647725e+01,1.413777e+03,2.112957e+03,1.347090e+01,3.241684e-01,8.780448e+04,3.819555e-04
9.166667e-01,4.004622e+01,2.603223e+01,9.094437e+03,3.276125e+01,1.645952e+03,5.915321e+00,2.684593e+01,1.048043e+04,2.647859e+01,1.413775e+03,2.112961e+03,1.346459e+01,3.241729e-01,8.776227e+04,3.819561e-04
