t_h,T_glucosa_C,U_W_m2C,Q_W,Q_acum_MJ,Q_perd_W,Q_perd_acum_MJ,Q_neto_acum_MJ,h_i_W_m2C,h_o_W_m2C,rho_kg_m3,Cp_J_kgC,mu_Pa_s,k_W_mC,Pr,beta_1C
0.000000e+00,4.000000e+01,2.601788e+01,9.106257e+03,2.731877e+00,0.000000e+00,0.000000e+00,2.731877e+00,1.047987e+04,2.646375e+01,1.413800e+03,2.112909e+03,1.353433e+01,3.241229e-01,8.822828e+04,3.819494e-04
8.333333e-02,4.005383e+01,2.603459e+01,9.092486e+03,5.459623e+00,0.000000e+00,0.000000e+00,5.459623e+00,1.048052e+04,2.648104e+01,1.413771e+03,2.112970e+03,1.345314e+01,3.241811e-01,8.768577e+04,3.819572e-04
1.666667e-01,4.010758e+01,2.605123e+01,9.078694e+03,8.183231e+00,0.000000e+00,0.000000e+00,8.183231e+00,1.048117e+04,2.649825e+01,1.413742e+03,2.113031e+03,1.337263e+01,3.242392e-01,8.714796e+04,3.819651e-04
2.500000e-01,4.016125e+01,2.606780e+01,9.064881e+03,1.090270e+01,0.000000e+00,0.000000e+00,1.090270e+01,1.048183e+04,2.651538e+01,1.413713e+03,2.113092e+03,1.329281e+01,3.242972e-01,8.661478e+04,3.819729e-04
3.333333e-01,4.021483e+01,2.608429e+01,9.051048e+03,1.361801e+01,0.000000e+00,0.000000e+00,1.361801e+01,1.048248e+04,2.653244e+01,1.413684e+03,2.113153e+03,1.321366e+01,3.243551e-01,8.608620e+04,3.819807e-04
4.166667e-01,4.026834e+01,2.610071e+01,9.037194e+03,1.632917e+01,0.000000e+00,0.000000e+00,1.632917e+01,1.048312e+04,2.654942e+01,1.413655e+03,2.113214e+03,1.313519e+01,3.244128e-01,8.556217e+04,3.819885e-04
5.000000e-01,4.032176e+01,2.611705e+01,9.023320e+03,1.903616e+01,0.000000e+00,0.000000e+00,1.903616e+01,1.048377e+04,2.656633e+01,1.413626e+03,2.113275e+03,1.305737e+01,3.244704e-01,8.504265e+04,3.819963e-04
5.833333e-01,4.037510e+01,2.613332e+01,9.009426e+03,2.173899e+01,0.000000e+00,0.000000e+00,2.173899e+01,1.048442e+04,2.658316e+01,1.413597e+03,2.113336e+03,1.298022e+01,3.245279e-01,8.452758e+04,3.820041e-04
6.666667e-01,4.042835e+01,2.614951e+01,8.995512e+03,2.443765e+01,0.000000e+00,0.000000e+00,2.443765e+01,1.048507e+04,2.659991e+01,1.413569e+03,2.113396e+03,1.290371e+01,3.245853e-01,8.401692e+04,3.820119e-04
7.500000e-01,4.048152e+01,2.616563e+01,8.981579e+03,2.713212e+01,0.000000e+00,0.000000e+00,2.713212e+01,1.048571e+04,2.661659e+01,1.413540e+03,2.113457e+03,1.282785e+01,3.246425e-01,8.351064e+04,3.820196e-04
8.333333e-01,4.053461e+01,2.618168e+01,8.967627e+03,2.982241e+01,0.000000e+00,0.000000e+00,2.982241e+01,1.048635e+04,2.663319e+01,1.413511e+03,2.113517e+03,1.275263e+01,3.246997e-01,8.300868e+04,3.820274e-04
9.166667e-01,4.058762e+01,2.619765e+01,8.953657e+03,3.250850e+01,0.000000e+00,0.000000e+00,3.250850e+01,1.048700e+04,2.664971e+01,1.413483e+03,2.113577e+03,1.267803e+01,3.247567e-01,8.251100e+04,3.820351e-04
1.000000e+00,4.064054e+01,2.621354e+01,8.939667e+03,3.519040e+01,0.000000e+00,0.000000e+00,3.519040e+01,1.048764e+04,2.666615e+01,1.413454e+03,2.113637e+03,1.260407e+01,3.248136e-01,8.201756e+04,3.820428e-04
1.083333e+00,4.069338e+01,2.622937e+01,8.925659e+03,3.786810e+01,0.000000e+00,0.000000e+00,3.786810e+01,1.048828e+04,2.668252e+01,1.413426e+03,2.113697e+03,1.253072e+01,3.248704e-01,8.152832e+04,3.820505e-04
1.166667e+00,4.074614e+01,2.624511e+01,8.911633e+03,4.054159e+01,0.000000e+00,0.000000e+00,4.054159e+01,1.048891e+04,2.669881e+01,1.413397e+03,2.113757e+03,1.245798e+01,3.249271e-01,8.104323e+04,3.820582e-04
1.250000e+00,4.079882e+01,2.626078e+01,8.897589e+03,4.321087e+01,0.000000e+00,0.000000e+00,4.321087e+01,1.048955e+04,2.671503e+01,1.413369e+03,2.113817e+03,1.238585e+01,3.249836e-01,8.056226e+04,3.820659e-04
1.333333e+00,4.085141e+01,2.627638e+01,8.883528e+03,4.587593e+01,0.000000e+00,0.000000e+00,4.587593e+01,1.049019e+04,2.673117e+01,1.413340e+03,2.113876e+03,1.231432e+01,3.250401e-01,8.008536e+04,3.820736e-04
1.416667e+00,4.090391e+01,2.629190e+01,8.869449e+03,4.853676e+01,0.000000e+00,0.000000e+00,4.853676e+01,1.049082e+04,2.674723e+01,1.413312e+03,2.113935e+03,1.224339e+01,3.250964e-01,7.961249e+04,3.820813e-04
1.500000e+00,4.095633e+01,2.630735e+01,8.855353e+03,5.119337e+01,0.000000e+00,0.000000e+00,5.119337e+01,1.049146e+04,2.676321e+01,1.413284e+03,2.113995e+03,1.217304e+01,3.251526e-01,7.914361e+04,3.820889e-04
1.583333e+00,4.100867e+01,2.632273e+01,8.841240e+03,5.384574e+01,0.000000e+00,0.000000e+00,5.384574e+01,1.049209e+04,2.677912e+01,1.413255e+03,2.114054e+03,1.210328e+01,3.252087e-01,7.867869e+04,3.820966e-04
1.666667e+00,4.106093e+01,2.633802e+01,8.827110e+03,5.649387e+01,0.000000e+00,0.000000e+00,5.649387e+01,1.049272e+04,2.679495e+01,1.413227e+03,2.114113e+03,1.203410e+01,3.252646e-01,7.821767e+04,3.821042e-04
1.750000e+00,4.111310e+01,2.635325e+01,8.812964e+03,5.913776e+01,0.000000e+00,0.000000e+00,5.913776e+01,1.049335e+04,2.681070e+01,1.413199e+03,2.114172e+03,1.196549e+01,3.253205e-01,7.776054e+04,3.821118e-04
1.833333e+00,4.116518e+01,2.636840e+01,8.798802e+03,6.177740e+01,0.000000e+00,0.000000e+00,6.177740e+01,1.049398e+04,2.682637e+01,1.413171e+03,2.114231e+03,1.189744e+01,3.253762e-01,7.730723e+04,3.821194e-04
1.916667e+00,4.121719e+01,2.638347e+01,8.784624e+03,6.441279e+01,0.000000e+00,0.000000e+00,6.441279e+01,1.049461e+04,2.684197e+01,1.413143e+03,2.114290e+03,1.182996e+01,3.254318e-01,7.685773e+04,3.821270e-04
2.000000e+00,4.126910e+01,2.639847e+01,8.770430e+03,6.704392e+01,0.000000e+00,0.000000e+00,6.704392e+01,1.049524e+04,2.685749e+01,1.413115e+03,2.114348e+03,1.176303e+01,3.254873e-01,7.641199e+04,3.821346e-04
2.083333e+00,4.132094e+01,2.641339e+01,8.756221e+03,6.967079e+01,0.000000e+00,0.000000e+00,6.967079e+01,1.049587e+04,2.687294e+01,1.413087e+03,2.114407e+03,1.169665e+01,3.255427e-01,7.596997e+04,3.821422e-04
2.166667e+00,4.137269e+01,2.642824e+01,8.741996e+03,7.229338e+01,0.000000e+00,0.000000e+00,7.229338e+01,1.049649e+04,2.688830e+01,1.413059e+03,2.114465e+03,1.163081e+01,3.255980e-01,7.553164e+04,3.821497e-04
2.250000e+00,4.142435e+01,2.644301e+01,8.727757e+03,7.491171e+01,0.000000e+00,0.000000e+00,7.491171e+01,1.049711e+04,2.690359e+01,1.413031e+03,2.114523e+03,1.156552e+01,3.256531e-01,7.509695e+04,3.821573e-04
2.333333e+00,4.147593e+01,2.645771e+01,8.713502e+03,7.752576e+01,0.000000e+00,0.000000e+00,7.752576e+01,1.049774e+04,2.691880e+01,1.413003e+03,2.114581e+03,1.150076e+01,3.257082e-01,7.466589e+04,3.821648e-04
