v_viento_m_s,T_salida_C,U_chaqueta_W_m2K,Q_chaqueta_MJ_h,Q_perdidas_MJ_h,Q_net_MJ_h
1.0,53.32,27.68,14.61,26.17,-11.55
1.5,52.97,27.71,14.85,32.42,-17.57
3.0,52.25,27.77,15.32,45.05,-29.73
