v_viento_m_s,T_salida_C,T_agua_out_C,U_chaqueta_W_m2K,h_i_W_m2K,h_o_W_m2K,h_ext_W_m2K,U_perdidas_W_m2K,Q_chaqueta_MJ_h,Q_perdidas_MJ_h,Q_net_MJ_h,H_agua_in_MJ_h,H_agua_out_MJ_h,H_gluc_in_MJ_h,H_gluc_out_MJ_h
1.0,58.86,74.74,36.28,11332.8,37.14,2.41,1.7793,61.90,30.13,31.77,17719.7,17658.6,972.1,1003.9
1.5,58.48,74.74,36.27,11330.7,37.14,3.30,2.2195,62.60,37.36,25.24,17719.7,17657.9,972.0,997.3
3.0,57.71,74.73,36.26,11326.3,37.12,5.80,3.1267,64.00,51.98,12.02,17719.7,17656.5,971.9,983.9
