v_viento_m_s,T_salida_C,U_chaqueta_W_m2K,Q_chaqueta_MJ_h,Q_perdidas_MJ_h,Q_net_MJ_h
1.0,59.64,36.26,25.67,31.88,-6.21
1.5,59.21,36.27,26.03,39.51,-13.48
3.0,58.35,36.28,26.75,54.95,-28.19
