v_viento_m_s,T_salida_C,U_chaqueta_W_m2K,Q_chaqueta_MJ_h,Q_perdidas_MJ_h,Q_net_MJ_h
1.0,55.94,26.89,10.67,28.78,-18.11
1.5,55.55,26.97,10.93,35.67,-24.73
3.0,54.76,27.11,11.45,49.57,-38.12
