descarga,t_ini_h,t_fin_h,T_ini_C,T_fin_C,cumple_min,ganancia_tiempo_muerto_MJ
1,0.0,1.9999999999999996,60.0,59.36486103758283,True,39.519879381289876
2,4.8,6.799999999999999,59.48306882216735,58.9273292529046,True,42.30716716844659
3,9.6,11.6,59.05389262101079,58.5640603716145,True,44.60615265518681
4,14.399999999999999,16.4,58.69751792435239,58.262403588283064,True,46.50438471238658
5,19.2,21.2,58.40155522939926,58.01187612473339,True,48.0732125535222
