v_viento_m_s,T_salida_C,T_agua_out_C,U_chaqueta_W_m2K,h_i_W_m2K,h_o_W_m2K,h_ext_W_m2K,U_perdidas_W_m2K,Q_chaqueta_MJ_h,Q_perdidas_MJ_h,Q_net_MJ_h,H_agua_in_MJ_h,H_agua_out_MJ_h,H_gluc_in_MJ_h,H_gluc_out_MJ_h
1.0,53.32,64.89,27.68,6453.6,28.24,2.43,1.7879,14.61,26.17,-11.55,8224.2,8210.1,919.1,907.6
1.5,52.97,64.89,27.71,6452.3,28.27,3.32,2.2301,14.85,32.42,-17.57,8224.2,8209.9,919.0,901.5
3.0,52.25,64.88,27.77,6449.8,28.32,5.85,3.1401,15.32,45.05,-29.73,8224.2,8209.4,918.9,889.2
