v_viento_m_s,T_salida_C,T_agua_out_C,U_chaqueta_W_m2K,h_i_W_m2K,h_o_W_m2K,h_ext_W_m2K,U_perdidas_W_m2K,Q_chaqueta_MJ_h,Q_perdidas_MJ_h,Q_net_MJ_h,H_agua_in_MJ_h,H_agua_out_MJ_h,H_gluc_in_MJ_h,H_gluc_out_MJ_h
1.0,61.15,74.78,36.19,11362.7,37.05,2.40,1.7740,52.21,32.57,19.64,17719.7,17668.4,1024.5,1044.1
1.5,60.74,74.78,36.21,11360.4,37.07,3.28,2.2130,53.00,40.39,12.61,17719.7,17667.6,1024.4,1037.0
3.0,59.90,74.77,36.25,11355.7,37.11,5.77,3.1185,54.57,56.21,-1.64,17719.7,17666.1,1024.2,1022.6
