v_viento_m_s,T_salida_C,T_agua_out_C,U_chaqueta_W_m2K,h_i_W_m2K,h_o_W_m2K,h_ext_W_m2K,U_perdidas_W_m2K,Q_chaqueta_MJ_h,Q_perdidas_MJ_h,Q_net_MJ_h,H_agua_in_MJ_h,H_agua_out_MJ_h,H_gluc_in_MJ_h,H_gluc_out_MJ_h
1.0,58.58,64.95,25.19,6492.3,25.64,2.41,1.7766,7.17,31.39,-24.22,8224.2,8217.6,1023.9,999.7
1.5,58.16,64.95,25.36,6490.8,25.82,3.29,2.2162,7.47,38.90,-31.44,8224.2,8217.4,1023.8,992.4
3.0,57.30,64.94,25.68,6487.9,26.16,5.78,3.1226,8.05,54.10,-46.05,8224.2,8216.8,1023.6,977.6
