descarga,t_ini_h,t_fin_h,T_ini_C,T_fin_C,cumple_min,ganancia_tiempo_muerto_MJ
1,0.0,1.9999999999999996,60.0,59.590717917710144,True,38.20970354498148
2,4.8,6.799999999999999,59.66214742597785,59.28630819261656,True,40.16299072918758
3,9.6,11.6,59.361399079248976,59.015325623882966,True,41.89375530081317
4,14.399999999999999,16.4,59.09366166576227,58.77408355666859,True,43.42803659750664
5,19.2,21.2,58.85529705841045,58.55930481607933,True,44.788723797329055
