t_h,T_glucosa_C,m_ton,fase
0.0,40.0,252.00054500056257,calentamiento
0.0,40.0,252.00054500056257,descarga
8.386893444664523e-05,40.00006807229905,252.00054500056257,descarga
0.0009225582789130976,40.00074877936981,252.00054500056257,descarga
0.009309451723577621,40.00755425834614,252.00054500056257,descarga
0.025976118390244284,40.021069708123036,252.00054500056257,descarga
0.04264278505691095,40.03457374185953,252.00054500056257,descarga
0.05930945172357762,40.04806636901527,252.00054500056257,descarga
0.07597611839024429,40.06154759904234,252.00054500056257,descarga
0.09264278505691095,40.0750174413853,252.00054500056257,descarga
0.10930945172357762,40.08847590548114,252.00054500056257,descarga
0.12597611839024428,40.101923000759335,252.00054500056257,descarga
0.14264278505691094,40.11535873664181,252.00054500056257,descarga
0.1593094517235776,40.12878312254298,252.00054500056257,descarga
0.1759761183902443,40.14219616786972,252.00054500056257,descarga
0.19264278505691096,40.15559788202141,252.00054500056257,descarga
0.20930945172357762,40.16898827438992,252.00054500056257,descarga
0.22597611839024428,40.1823673543596,252.00054500056257,descarga
0.24264278505691095,40.195735131307316,252.00054500056257,descarga
0.2593094517235776,40.20909161460244,252.00054500056257,descarga
0.2759761183902443,40.22243681360686,252.00054500056257,descarga
0.29264278505691094,40.235770737674976,252.00054500056257,descarga
0.3093094517235776,40.24909339615372,252.00054500056257,descarga
0.32597611839024426,40.262404798382555,252.00054500056257,descarga
0.3426427850569109,40.27570495369348,252.00054500056257,descarga
0.35930945172357764,40.28899387141102,252.00054500056257,descarga
0.3759761183902443,40.30227156085228,252.00054500056257,descarga
0.39264278505691097,40.315538031326895,252.00054500056257,descarga
0.40930945172357763,40.32879329213706,252.00054500056257,descarga
0.4259761183902443,40.342037352577535,252.00054500056257,descarga
0.44264278505691096,40.35527022193566,252.00054500056257,descarga
0.4593094517235776,40.368491909491354,252.00054500056257,descarga
0.4759761183902443,40.3817024245171,252.00054500056257,descarga
0.49264278505691095,40.394901776277976,252.00054500056257,descarga
0.5093094517235777,40.40808997403166,252.00054500056257,descarga
0.5259761183902443,40.42126702702842,252.00054500056257,descarga
0.542642785056911,40.43443294451113,252.00054500056257,descarga
0.5593094517235776,40.447587735715274,252.00054500056257,descarga
0.5759761183902443,40.46073140986895,252.00054500056257,descarga
0.5926427850569109,40.473863976192874,252.00054500056257,descarga
0.6093094517235776,40.4869854439004,252.00054500056257,descarga
0.6259761183902443,40.5000958221975,252.00054500056257,descarga
0.642642785056911,40.513195120282795,252.00054500056257,descarga
0.6593094517235776,40.52628334734754,252.00054500056257,descarga
0.6759761183902443,40.53936051257564,252.00054500056257,descarga
0.6926427850569109,40.55242662514366,252.00054500056257,descarga
0.7093094517235776,40.56548169422082,252.00054500056257,descarga
0.7259761183902443,40.578525728969005,252.00054500056257,descarga
0.742642785056911,40.59155873854277,252.00054500056257,descarga
0.7593094517235777,40.60458073208936,252.00054500056257,descarga
0.7759761183902443,40.61759171874868,252.00054500056257,descarga
0.792642785056911,40.63059170765333,252.00054500056257,descarga
0.8093094517235776,40.64358070792861,252.00054500056257,descarga
0.8259761183902443,40.656558728692524,252.00054500056257,descarga
0.8426427850569109,40.66952577905575,252.00054500056257,descarga
0.8593094517235776,40.68248186812171,252.00054500056257,descarga
0.8759761183902443,40.69542700498653,252.00054500056257,descarga
0.892642785056911,40.70836119873904,252.00054500056257,descarga
0.9093094517235776,40.72128445846082,252.00054500056257,descarga
0.9259761183902443,40.73419679322617,252.00054500056257,descarga
0.9426427850569109,40.74709821210212,252.00054500056257,descarga
0.9593094517235776,40.75998872414846,252.00054500056257,descarga
0.9759761183902443,40.77286833841771,252.00054500056257,descarga
0.992642785056911,40.78573706395516,252.00054500056257,descarga
1.0093094517235777,40.798594909798844,252.00054500056257,descarga
1.0259761183902443,40.81144188497957,252.00054500056257,descarga
1.0426427850569109,40.82427799852092,252.00054500056257,descarga
1.0593094517235777,40.83710325943924,252.00054500056257,descarga
1.0759761183902443,40.84991767674366,252.00054500056257,descarga
1.092642785056911,40.8627212594361,252.00054500056257,descarga
