v_viento_m_s,T_salida_C,T_agua_out_C,U_chaqueta_W_m2K,h_i_W_m2K,h_o_W_m2K,h_ext_W_m2K,U_perdidas_W_m2K,Q_chaqueta_MJ_h,Q_perdidas_MJ_h,Q_net_MJ_h,H_agua_in_MJ_h,H_agua_out_MJ_h,H_gluc_in_MJ_h,H_gluc_out_MJ_h
1.0,55.98,64.91,26.88,6473.1,27.40,2.42,1.7822,11.45,28.80,-17.35,8224.2,8213.3,971.5,954.1
1.5,55.59,64.91,26.96,6471.8,27.48,3.31,2.2231,11.74,35.69,-23.96,8224.2,8213.1,971.4,947.4
3.0,54.81,64.91,27.11,6469.1,27.63,5.81,3.1313,12.30,49.61,-37.32,8224.2,8212.5,971.2,933.9
