v_viento_m_s,T_salida_C,T_agua_out_C,U_chaqueta_W_m2K,h_i_W_m2K,h_o_W_m2K,h_ext_W_m2K,U_perdidas_W_m2K,Q_chaqueta_MJ_h,Q_perdidas_MJ_h,Q_net_MJ_h,H_agua_in_MJ_h,H_agua_out_MJ_h,H_gluc_in_MJ_h,H_gluc_out_MJ_h
1.0,57.19,74.86,36.24,11323.3,37.10,2.41,1.7810,32.58,29.36,3.22,17719.7,17687.6,971.7,975.0
1.5,56.80,74.86,36.22,11321.1,37.09,3.30,2.2216,32.92,36.39,-3.47,17719.7,17687.3,971.6,968.2
3.0,56.00,74.86,36.19,11316.6,37.05,5.81,3.1294,33.60,50.59,-16.99,17719.7,17686.6,971.5,954.5
