descarga,t_ini_h,t_fin_h,T_ini_C,T_fin_C,cumple_min,ganancia_tiempo_muerto_MJ
1,0.0,1.9999999999999996,60.0,59.51488569954583,True,-21.007688236195783
2,4.8,6.799999999999999,59.47560996261265,59.041751075884406,True,-18.429942072514674
3,9.6,11.6,59.007287083094305,58.619240090272065,True,-16.116671849703053
4,14.399999999999999,16.4,58.58909592082964,58.24198257168813,True,-14.044449315719667
5,19.2,21.2,58.2157095057833,57.905162380449944,True,-12.190484785766321
