v_viento_m_s,T_salida_C,T_agua_out_C,U_chaqueta_W_m2K,h_i_W_m2K,h_o_W_m2K,h_ext_W_m2K,U_perdidas_W_m2K,Q_chaqueta_MJ_h,Q_perdidas_MJ_h,Q_net_MJ_h,H_agua_in_MJ_h,H_agua_out_MJ_h,H_gluc_in_MJ_h,H_gluc_out_MJ_h
1.0,56.55,74.70,36.05,11302.5,36.90,2.42,1.7847,71.06,27.67,43.39,17719.7,17649.2,919.8,963.2
1.5,56.19,74.70,36.02,11300.5,36.87,3.31,2.2261,71.67,34.30,37.37,17719.7,17648.6,919.7,957.1
3.0,55.48,74.69,35.97,11296.4,36.82,5.83,3.1350,72.88,47.70,25.18,17719.7,17647.4,919.6,944.8
