t_h,T_glucosa_C,U_W_m2C,Q_W,Q_acum_MJ,Q_perd_W,Q_perd_acum_MJ,Q_neto_acum_MJ,h_i_W_m2C,h_o_W_m2C,rho_kg_m3,Cp_J_kgC,mu_Pa_s,k_W_mC,Pr,beta_1C
0.000000e+00,4.000000e+01,2.601788e+01,9.106257e+03,2.731877e+00,1.640336e+03,4.921008e-01,2.239776e+00,1.047987e+04,2.646375e+01,1.413800e+03,2.112909e+03,1.353433e+01,3.241229e-01,8.822828e+04,3.819494e-04
8.333333e-02,4.000673e+01,2.601997e+01,9.104538e+03,5.463239e+00,1.641154e+03,9.844468e-01,4.478792e+00,1.047995e+04,2.646591e+01,1.413796e+03,2.112916e+03,1.352415e+01,3.241302e-01,8.816025e+04,3.819503e-04
1.666667e-01,4.001346e+01,2.602206e+01,9.102819e+03,8.194084e+00,1.641971e+03,1.477038e+00,6.717046e+00,1.048003e+04,2.646807e+01,1.413793e+03,2.112924e+03,1.351398e+01,3.241375e-01,8.809231e+04,3.819513e-04
2.500000e-01,4.002018e+01,2.602415e+01,9.101100e+03,1.092441e+01,1.642788e+03,1.969874e+00,8.954540e+00,1.048011e+04,2.647024e+01,1.413789e+03,2.112932e+03,1.350383e+01,3.241448e-01,8.802445e+04,3.819523e-04
3.333333e-01,4.002690e+01,2.602624e+01,9.099380e+03,1.365423e+01,1.643605e+03,2.462956e+00,1.119127e+01,1.048019e+04,2.647239e+01,1.413785e+03,2.112939e+03,1.349368e+01,3.241520e-01,8.795667e+04,3.819533e-04
4.166667e-01,4.003362e+01,2.602832e+01,9.097661e+03,1.638353e+01,1.644421e+03,2.956282e+00,1.342724e+01,1.048028e+04,2.647455e+01,1.413782e+03,2.112947e+03,1.348355e+01,3.241593e-01,8.788897e+04,3.819543e-04
5.000000e-01,4.004034e+01,2.603041e+01,9.095941e+03,1.911231e+01,1.645238e+03,3.449854e+00,1.566246e+01,1.048036e+04,2.647671e+01,1.413778e+03,2.112955e+03,1.347343e+01,3.241666e-01,8.782136e+04,3.819552e-04
5.833333e-01,4.004706e+01,2.603249e+01,9.094222e+03,2.184058e+01,1.646054e+03,3.943670e+00,1.789691e+01,1.048044e+04,2.647886e+01,1.413775e+03,2.112962e+03,1.346332e+01,3.241738e-01,8.775384e+04,3.819562e-04
6.666667e-01,4.005377e+01,2.603457e+01,9.092502e+03,2.456833e+01,1.646869e+03,4.437730e+00,2.013060e+01,1.048052e+04,2.648102e+01,1.413771e+03,2.112970e+03,1.345323e+01,3.241811e-01,8.768639e+04,3.819572e-04
7.500000e-01,4.006048e+01,2.603665e+01,9.090782e+03,2.729556e+01,1.647685e+03,4.932036e+00,2.236352e+01,1.048060e+04,2.648317e+01,1.413767e+03,2.112978e+03,1.344315e+01,3.241883e-01,8.761903e+04,3.819582e-04
8.333333e-01,4.006719e+01,2.603873e+01,9.089063e+03,3.002228e+01,1.648500e+03,5.426586e+00,2.459569e+01,1.048068e+04,2.648532e+01,1.413764e+03,2.112985e+03,1.343308e+01,3.241956e-01,8.755176e+04,3.819592e-04
9.166667e-01,4.007390e+01,2.604081e+01,9.087343e+03,3.274848e+01,1.649315e+03,5.921380e+00,2.682710e+01,1.048076e+04,2.648747e+01,1.413760e+03,2.112993e+03,1.342302e+01,3.242028e-01,8.748456e+04,3.819601e-04
1.000000e+00,4.008060e+01,2.604288e+01,9.085623e+03,3.547417e+01,1.650129e+03,6.416419e+00,2.905775e+01,1.048085e+04,2.648961e+01,1.413756e+03,2.113001e+03,1.341297e+01,3.242101e-01,8.741745e+04,3.819611e-04
1.083333e+00,4.008730e+01,2.604496e+01,9.083903e+03,3.819934e+01,1.650944e+03,6.911702e+00,3.128764e+01,1.048093e+04,2.649176e+01,1.413753e+03,2.113008e+03,1.340294e+01,3.242173e-01,8.735042e+04,3.819621e-04
1.166667e+00,4.009400e+01,2.604703e+01,9.082183e+03,4.092399e+01,1.651758e+03,7.407229e+00,3.351677e+01,1.048101e+04,2.649390e+01,1.413749e+03,2.113016e+03,1.339292e+01,3.242246e-01,8.728348e+04,3.819631e-04
1.250000e+00,4.010070e+01,2.604910e+01,9.080463e+03,4.364813e+01,1.652571e+03,7.903001e+00,3.574513e+01,1.048109e+04,2.649605e+01,1.413746e+03,2.113024e+03,1.338291e+01,3.242318e-01,8.721661e+04,3.819640e-04
1.333333e+00,4.010739e+01,2.605117e+01,9.078743e+03,4.637176e+01,1.653385e+03,8.399016e+00,3.797274e+01,1.048117e+04,2.649819e+01,1.413742e+03,2.113031e+03,1.337291e+01,3.242390e-01,8.714983e+04,3.819650e-04
1.416667e+00,4.011409e+01,2.605324e+01,9.077022e+03,4.909486e+01,1.654198e+03,8.895276e+00,4.019959e+01,1.048125e+04,2.650033e+01,1.413738e+03,2.113039e+03,1.336293e+01,3.242463e-01,8.708313e+04,3.819660e-04
1.500000e+00,4.012078e+01,2.605531e+01,9.075302e+03,5.181745e+01,1.655011e+03,9.391779e+00,4.242567e+01,1.048133e+04,2.650246e+01,1.413735e+03,2.113046e+03,1.335295e+01,3.242535e-01,8.701652e+04,3.819670e-04
