t_h,T_glucosa_C,U_W_m2C,Q_W,Q_acum_MJ,Q_perd_W,Q_perd_acum_MJ,Q_neto_acum_MJ,h_i_W_m2C,h_o_W_m2C,rho_kg_m3,Cp_J_kgC,mu_Pa_s,k_W_mC,Pr,beta_1C
0.000000e+00,4.000000e+01,3.110245e+01,1.524020e+04,4.572060e+00,1.640336e+03,4.921008e-01,4.079960e+00,1.112157e+04,3.173622e+01,1.413800e+03,2.112909e+03,1.353433e+01,3.241229e-01,8.822828e+04,3.819494e-04
8.333333e-02,4.000766e+01,3.110588e+01,1.523855e+04,9.143624e+00,1.641267e+03,9.844808e-01,8.159143e+00,1.112166e+04,3.173979e+01,1.413796e+03,2.112917e+03,1.352274e+01,3.241312e-01,8.815083e+04,3.819505e-04
1.666667e-01,4.001532e+01,3.110931e+01,1.523689e+04,1.371469e+01,1.642198e+03,1.477140e+00,1.223755e+01,1.112175e+04,3.174336e+01,1.413792e+03,2.112926e+03,1.351116e+01,3.241395e-01,8.807347e+04,3.819516e-04
2.500000e-01,4.002298e+01,3.111274e+01,1.523523e+04,1.828526e+01,1.643128e+03,1.970079e+00,1.631518e+01,1.112185e+04,3.174693e+01,1.413788e+03,2.112935e+03,1.349960e+01,3.241478e-01,8.799621e+04,3.819527e-04
3.333333e-01,4.003064e+01,3.111617e+01,1.523358e+04,2.285533e+01,1.644059e+03,2.463296e+00,2.039204e+01,1.112194e+04,3.175049e+01,1.413783e+03,2.112944e+03,1.348805e+01,3.241561e-01,8.791904e+04,3.819538e-04
4.166667e-01,4.003829e+01,3.111959e+01,1.523192e+04,2.742491e+01,1.644989e+03,2.956793e+00,2.446812e+01,1.112204e+04,3.175406e+01,1.413779e+03,2.112952e+03,1.347651e+01,3.241643e-01,8.784196e+04,3.819549e-04
5.000000e-01,4.004595e+01,3.112302e+01,1.523026e+04,3.199399e+01,1.645919e+03,3.450568e+00,2.854342e+01,1.112213e+04,3.175762e+01,1.413775e+03,2.112961e+03,1.346499e+01,3.241726e-01,8.776497e+04,3.819561e-04
5.833333e-01,4.005360e+01,3.112644e+01,1.522860e+04,3.656257e+01,1.646849e+03,3.944623e+00,3.261794e+01,1.112222e+04,3.176119e+01,1.413771e+03,2.112970e+03,1.345348e+01,3.241809e-01,8.768808e+04,3.819572e-04
6.666667e-01,4.006125e+01,3.112986e+01,1.522694e+04,4.113065e+01,1.647779e+03,4.438957e+00,3.669169e+01,1.112232e+04,3.176475e+01,1.413767e+03,2.112979e+03,1.344199e+01,3.241892e-01,8.761128e+04,3.819583e-04
7.500000e-01,4.006890e+01,3.113328e+01,1.522528e+04,4.569823e+01,1.648708e+03,4.933569e+00,4.076466e+01,1.112241e+04,3.176831e+01,1.413763e+03,2.112987e+03,1.343050e+01,3.241974e-01,8.753458e+04,3.819594e-04
8.333333e-01,4.007655e+01,3.113670e+01,1.522361e+04,5.026531e+01,1.649637e+03,5.428460e+00,4.483685e+01,1.112250e+04,3.177187e+01,1.413759e+03,2.112996e+03,1.341904e+01,3.242057e-01,8.745797e+04,3.819605e-04
9.166667e-01,4.008420e+01,3.114012e+01,1.522195e+04,5.483190e+01,1.650567e+03,5.923630e+00,4.890827e+01,1.112260e+04,3.177543e+01,1.413755e+03,2.113005e+03,1.340758e+01,3.242140e-01,8.738145e+04,3.819616e-04
1.000000e+00,4.009185e+01,3.114354e+01,1.522029e+04,5.939799e+01,1.651496e+03,6.419079e+00,5.297891e+01,1.112269e+04,3.177899e+01,1.413750e+03,2.113013e+03,1.339614e+01,3.242222e-01,8.730502e+04,3.819628e-04
1.083333e+00,4.009949e+01,3.114695e+01,1.521862e+04,6.396357e+01,1.652424e+03,6.914806e+00,5.704877e+01,1.112278e+04,3.178254e+01,1.413746e+03,2.113022e+03,1.338471e+01,3.242305e-01,8.722868e+04,3.819639e-04
1.166667e+00,4.010713e+01,3.115037e+01,1.521696e+04,6.852866e+01,1.653353e+03,7.410812e+00,6.111785e+01,1.112288e+04,3.178610e+01,1.413742e+03,2.113031e+03,1.337330e+01,3.242387e-01,8.715244e+04,3.819650e-04
1.250000e+00,4.011477e+01,3.115378e+01,1.521529e+04,7.309325e+01,1.654282e+03,7.907097e+00,6.518615e+01,1.112297e+04,3.178965e+01,1.413738e+03,2.113040e+03,1.336190e+01,3.242470e-01,8.707629e+04,3.819661e-04
1.333333e+00,4.012241e+01,3.115719e+01,1.521363e+04,7.765734e+01,1.655210e+03,8.403660e+00,6.925368e+01,1.112306e+04,3.179320e+01,1.413734e+03,2.113048e+03,1.335051e+01,3.242553e-01,8.700023e+04,3.819672e-04
1.416667e+00,4.013005e+01,3.116060e+01,1.521196e+04,8.222093e+01,1.656138e+03,8.900501e+00,7.332043e+01,1.112316e+04,3.179675e+01,1.413730e+03,2.113057e+03,1.333914e+01,3.242635e-01,8.692426e+04,3.819683e-04
1.500000e+00,4.013769e+01,3.116401e+01,1.521029e+04,8.678401e+01,1.657066e+03,9.397621e+00,7.738639e+01,1.112325e+04,3.180030e+01,1.413726e+03,2.113066e+03,1.332778e+01,3.242718e-01,8.684839e+04,3.819694e-04
1.583333e+00,4.014532e+01,3.116742e+01,1.520863e+04,9.134660e+01,1.657994e+03,9.895019e+00,8.145158e+01,1.112334e+04,3.180385e+01,1.413722e+03,2.113074e+03,1.331644e+01,3.242800e-01,8.677260e+04,3.819706e-04
1.666667e+00,4.015296e+01,3.117083e+01,1.520696e+04,9.590869e+01,1.658921e+03,1.039270e+01,8.551599e+01,1.112344e+04,3.180739e+01,1.413717e+03,2.113083e+03,1.330510e+01,3.242882e-01,8.669691e+04,3.819717e-04
1.750000e+00,4.016059e+01,3.117423e+01,1.520529e+04,1.004703e+02,1.659849e+03,1.089065e+01,8.957963e+01,1.112353e+04,3.181094e+01,1.413713e+03,2.113092e+03,1.329378e+01,3.242965e-01,8.662131e+04,3.819728e-04
1.833333e+00,4.016822e+01,3.117764e+01,1.520362e+04,1.050314e+02,1.660776e+03,1.138888e+01,9.364248e+01,1.112362e+04,3.181448e+01,1.413709e+03,2.113100e+03,1.328248e+01,3.243047e-01,8.654580e+04,3.819739e-04
