v_viento_m_s,T_salida_C,T_agua_out_C,U_chaqueta_W_m2K,h_i_W_m2K,h_o_W_m2K,h_ext_W_m2K,U_perdidas_W_m2K,Q_chaqueta_MJ_h,Q_perdidas_MJ_h,Q_net_MJ_h,H_agua_in_MJ_h,H_agua_out_MJ_h,H_gluc_in_MJ_h,H_gluc_out_MJ_h
1.0,58.58,64.97,25.22,10705.0,25.64,2.41,1.7766,7.20,31.39,-24.19,15357.1,15350.6,1023.9,999.7
1.5,58.16,64.97,25.40,10702.6,25.82,3.29,2.2162,7.50,38.90,-31.41,15357.1,15350.3,1023.8,992.4
3.0,57.30,64.97,25.72,10697.8,26.15,5.78,3.1226,8.08,54.10,-46.02,15357.1,15349.7,1023.6,977.6
