descarga,t_ini_h,t_fin_h,T_ini_C,T_fin_C,cumple_min,ganancia_tiempo_muerto_MJ
1,0.0,1.9999999999999996,60.0,59.24688101540703,True,-19.490032376899784
2,4.8,6.799999999999999,59.18857359133691,58.55863504877354,True,-15.73589278081553
3,9.6,11.6,58.511543597738154,57.984487839210466,True,-12.588648181160606
4,14.399999999999999,16.4,57.94680459000816,57.50562799621658,True,-9.957574206771593
5,19.2,21.2,57.47581374086161,57.106295778549935,True,-7.761552595050785
