v_viento_m_s,T_salida_C,T_agua_out_C,U_chaqueta_W_m2K,h_i_W_m2K,h_o_W_m2K,h_ext_W_m2K,U_perdidas_W_m2K,Q_chaqueta_MJ_h,Q_perdidas_MJ_h,Q_net_MJ_h,H_agua_in_MJ_h,H_agua_out_MJ_h,H_gluc_in_MJ_h,H_gluc_out_MJ_h
1.0,53.39,64.94,27.73,10641.5,28.23,2.43,1.7878,15.75,26.20,-10.45,15357.1,15342.0,919.1,908.7
1.5,53.03,64.93,27.75,10639.5,28.26,3.32,2.2300,16.01,32.46,-16.46,15357.1,15341.7,919.1,902.6
3.0,52.32,64.93,27.81,10635.4,28.32,5.84,3.1400,16.52,45.11,-28.59,15357.1,15341.2,918.9,890.3
