v_viento_m_s,T_salida_C,T_agua_out_C,U_chaqueta_W_m2K,h_i_W_m2K,h_o_W_m2K,h_ext_W_m2K,U_perdidas_W_m2K,Q_chaqueta_MJ_h,Q_perdidas_MJ_h,Q_net_MJ_h,H_agua_in_MJ_h,H_agua_out_MJ_h,H_gluc_in_MJ_h,H_gluc_out_MJ_h
1.0,59.74,74.89,36.25,11354.8,37.11,2.40,1.7754,27.54,31.92,-4.39,17719.7,17692.7,1024.2,1019.8
1.5,59.32,74.88,36.27,11352.4,37.13,3.29,2.2147,27.93,39.57,-11.64,17719.7,17692.4,1024.1,1012.4
3.0,58.46,74.88,36.28,11347.5,37.15,5.78,3.1208,28.71,55.04,-26.33,17719.7,17691.6,1023.9,997.5
