v_viento_m_s,T_salida_C,T_agua_out_C,U_chaqueta_W_m2K,h_i_W_m2K,h_o_W_m2K,h_ext_W_m2K,U_perdidas_W_m2K,Q_chaqueta_MJ_h,Q_perdidas_MJ_h,Q_net_MJ_h,H_agua_in_MJ_h,H_agua_out_MJ_h,H_gluc_in_MJ_h,H_gluc_out_MJ_h
1.0,54.47,74.85,35.89,11290.6,36.73,2.43,1.7867,34.75,26.70,8.05,17719.7,17685.4,919.4,927.4
1.5,54.11,74.85,35.85,11288.5,36.70,3.32,2.2287,35.02,33.09,1.93,17719.7,17685.1,919.3,921.2
3.0,53.39,74.85,35.79,11284.3,36.63,5.84,3.1383,35.56,45.98,-10.43,17719.7,17684.6,919.1,908.7
