v_viento_m_s,T_salida_C,U_chaqueta_W_m2K,Q_chaqueta_MJ_h,Q_perdidas_MJ_h,Q_net_MJ_h
1.0,57.06,36.23,30.36,29.30,1.06
1.5,56.67,36.22,30.68,36.32,-5.63
3.0,55.88,36.19,31.31,50.48,-19.17
